neighbourhood,province,room_type,minimum_nights,accommodates,bedrooms,price
Moncton,New Brunswick,Entire home/apt,3,2,1,74.0
Saint Andrews,New Brunswick,Entire home/apt,3,3,2,105.0
Shediac,New Brunswick,Entire home/apt,7,6,3,249.0
Moncton,New Brunswick,Private room,1,2,1,44.0
Shediac,New Brunswick,Private room,2,2,1,150.0
Sackville,New Brunswick,Entire home/apt,2,2,1,45.0
Alma,New Brunswick,Entire home/apt,2,6,3,99.0
Fredericton,New Brunswick,Private room,4,2,1,76.0
Fredericton,New Brunswick,Entire home/apt,3,5,3,109.0
Fredericton,New Brunswick,Entire home/apt,1,3,1,95.0
Saint-Jacques,New Brunswick,Entire home/apt,1,5,2,150.0
Saint-Jacques,New Brunswick,Entire home/apt,1,5,1,95.0
Moncton,New Brunswick,Private room,1,2,2,50.0
City of Saint John,New Brunswick,Private room,1,1,1,95.0
Botsford,New Brunswick,Entire home/apt,4,3,1,199.0
Hillsborough,New Brunswick,Private room,2,1,1,49.0
Saint Martins,New Brunswick,Entire home/apt,6,4,2,130.0
Sackville,New Brunswick,Entire home/apt,2,4,2,98.0
Hopewell,New Brunswick,Private room,2,2,1,110.0
Hopewell,New Brunswick,Private room,2,2,1,88.0
Moncton,New Brunswick,Entire home/apt,1,7,3,199.0
Moncton,New Brunswick,Private room,1,2,1,94.0
Hopewell,New Brunswick,Private room,2,2,1,78.0
Shippagan,New Brunswick,Entire home/apt,2,4,1,130.0
Douglas,New Brunswick,Private room,1,2,1,58.0
Gagetown,New Brunswick,Private room,2,2,1,90.0
Shediac,New Brunswick,Entire home/apt,5,6,2,199.0
Shediac,New Brunswick,Entire home/apt,5,4,2,199.0
City of Saint John,New Brunswick,Private room,1,3,1,119.0
Grand Manan,New Brunswick,Entire home/apt,2,6,2,125.0
Shediac,New Brunswick,Entire home/apt,3,2,1,129.0
Rothesay,New Brunswick,Private room,1,2,1,95.0
Shediac,New Brunswick,Entire home/apt,6,6,2,184.0
Saint Andrews,New Brunswick,Entire home/apt,7,2,1,85.0
Sackville,New Brunswick,Private room,1,2,1,80.0
Fredericton,New Brunswick,Private room,1,2,1,99.0
Moncton,New Brunswick,Entire home/apt,4,2,1,89.0
Fredericton,New Brunswick,Private room,1,2,1,98.0
Kingsclear,New Brunswick,Private room,1,2,1,130.0
Kingsclear,New Brunswick,Hotel room,1,2,1,141.0
Kingsclear,New Brunswick,Private room,1,2,1,135.0
Saint Stephen,New Brunswick,Private room,1,2,1,65.0
Fredericton,New Brunswick,Private room,1,2,1,68.0
Fredericton,New Brunswick,Private room,1,2,1,76.0
Saint Andrews,New Brunswick,Entire home/apt,1,4,2,225.0
Fredericton,New Brunswick,Private room,1,1,1,45.0
Burton,New Brunswick,Entire home/apt,1,6,3,111.0
Moncton,New Brunswick,Private room,1,2,1,65.0
Moncton,New Brunswick,Entire home/apt,2,4,2,119.0
Campobello,New Brunswick,Private room,1,2,3,113.0
Fredericton,New Brunswick,Private room,1,2,1,45.0
Campobello,New Brunswick,Private room,1,2,1,113.0
Grand Manan,New Brunswick,Entire home/apt,2,6,3,150.0
Shediac,New Brunswick,Entire home/apt,3,6,3,175.0
Saint George,New Brunswick,Entire home/apt,3,6,3,300.0
Alma,New Brunswick,Entire home/apt,2,5,1,150.0
Moncton,New Brunswick,Entire home/apt,2,4,1,149.0
Moncton,New Brunswick,Entire home/apt,7,6,3,135.0
